"","Year","Q2.5","Q7.5","Q50","Q92.5","Q97.5"
"1",2010,-1.13474166661139e-05,3.07428535613419e-05,0.000167833156211478,0.000330538168085668,0.000399043886101544
"2",2010.12121212121,9.17674683395265e-06,4.81550866359262e-05,0.000183057824734598,0.000343598255700108,0.000411992412594761
"3",2010.24242424242,2.73863853872987e-05,6.48885634378426e-05,0.000196976031410645,0.000356997919502931,0.000425517023796294
"4",2010.36363636364,4.48924673221239e-05,8.07543222231093e-05,0.000210693178834167,0.000370603237865581,0.000438431999198161
"5",2010.48484848485,6.39038686138199e-05,9.82303565131213e-05,0.00022585510351763,0.000385703064874623,0.00045177115442596
"6",2010.60606060606,8.26867923340046e-05,0.000115405169346479,0.00024137694886133,0.000400831661915439,0.000463856194051513
"7",2010.72727272727,0.000100131918657915,0.000132323983735819,0.00025566543516722,0.00041429989574077,0.000476361898345158
"8",2010.84848484848,0.000117625653621246,0.000148309475616195,0.000271112251377483,0.000428331380068543,0.000492496559725038
"9",2010.9696969697,0.000134000742175009,0.000164408339704595,0.000286800505496575,0.000444467799697569,0.000508185442719201
"10",2011.09090909091,0.000147031655356974,0.000180239521119191,0.000301855880720816,0.000460930858299139,0.00052191896650016
"11",2011.21212121212,0.000161906441536865,0.000196548360531938,0.000317359364331824,0.000476734953321153,0.000536057128469556
"12",2011.33333333333,0.000177222869777355,0.000211184127669176,0.00033224920093479,0.000492764860484092,0.000551099042608762
"13",2011.45454545455,0.000191850236242664,0.000227617563253953,0.00034674668250707,0.000507231445921865,0.000566978343524857
"14",2011.57575757576,0.000207829271088231,0.000241922843455873,0.000361277171787649,0.000524065126863916,0.000580688813563309
"15",2011.69696969697,0.000222559385913688,0.00025595663936056,0.000376608130713972,0.000538475045955535,0.000593533932785008
"16",2011.81818181818,0.00023799356637251,0.000270378766720388,0.000391183008966063,0.000555042552783091,0.000606507636965225
"17",2011.93939393939,0.000251035693310283,0.000284894523003329,0.000406203466216884,0.000571834957638231,0.000622516085142531
"18",2012.06060606061,0.000263678143593578,0.000298532178674385,0.000421494773796309,0.000584783761655067,0.000638589859039983
"19",2012.18181818182,0.000277894486455006,0.000312469407021453,0.000436746937378432,0.000601918403398875,0.000657317571266406
"20",2012.30303030303,0.000289593617216273,0.000327166640962306,0.000452474380038507,0.000619353147426743,0.00067534830594019
"21",2012.42424242424,0.000302323493432285,0.000341018132789874,0.000467827970638031,0.000637170553514815,0.000694958607052292
"22",2012.54545454545,0.000316399338499613,0.000354494351716978,0.000483163196570242,0.000654246640683634,0.000712997693267289
"23",2012.66666666667,0.000327757083825817,0.000366876587843539,0.000498558493526415,0.000672057811482177,0.000732213647132336
"24",2012.78787878788,0.000340241823927506,0.000380126874748282,0.000514382701625838,0.00069089495313553,0.000746332746660232
"25",2012.90909090909,0.000351951478715496,0.000392780264682131,0.000529399328455996,0.000708431113902545,0.000770819381327461
"26",2013.0303030303,0.000363746952630165,0.000404501427143806,0.000544020398692182,0.000726825261972644,0.000786754868789753
"27",2013.15151515152,0.000375445470110643,0.000415461861269551,0.000560610025409291,0.000743421555356163,0.000806238524825656
"28",2013.27272727273,0.000390073118732382,0.000427697497488234,0.000576626566765583,0.000759530787889071,0.00082234347067378
"29",2013.39393939394,0.000402099823739144,0.000439035271128986,0.00059254360242634,0.000776404581900756,0.00084343554776809
"30",2013.51515151515,0.000411085639706518,0.000452308232799855,0.000607574020536911,0.000794804433091316,0.000863807268844486
"31",2013.63636363636,0.000420991942786845,0.000466358756579678,0.000623013007661625,0.000814100036098002,0.000880756480722995
"32",2013.75757575758,0.000431904681293837,0.000477601518290522,0.000638388003876228,0.00083267960170444,0.000905466226118743
"33",2013.87878787879,0.000443888341128402,0.000489869738303203,0.000653478067418846,0.000852743930220521,0.000927415851299724
"34",2014,0.000455312224840657,0.000502068844166485,0.000668553277897155,0.000871812506052738,0.000945075866840247
"35",2014.12121212121,0.000464866919851059,0.000514764494118206,0.000683673721893496,0.000890591133060445,0.000965922587973825
"36",2014.24242424242,0.000473290253395591,0.000526653806953958,0.00069948982287519,0.000908554043414069,0.000987178940050928
"37",2014.36363636364,0.000482828849463089,0.00053762213982739,0.000714963885606248,0.000928597794824914,0.00100408316907562
"38",2014.48484848485,0.000493359174860229,0.000550235221446876,0.000730734994826327,0.000948126322406993,0.00102328095348273
"39",2014.60606060606,0.000503646437637701,0.0005625877019737,0.00074574444965952,0.000966415256484377,0.00104251558761133
"40",2014.72727272727,0.000515521881209688,0.000575307671958976,0.000759978248065463,0.000984296849200466,0.0010624710691449
"41",2014.84848484848,0.000523763957411336,0.000585305223847596,0.000775356274318861,0.00100271575206576,0.00108338175878083
"42",2014.9696969697,0.000534845681179475,0.000596533372727768,0.000790382219639054,0.00102097738342718,0.00110452292449006
"43",2015.09090909091,0.000544945634076372,0.000608862872698886,0.000804933076026321,0.00104136939627003,0.0011269578735938
"44",2015.21212121212,0.00055444271068004,0.000619887266918335,0.000820529007103365,0.00106075747973859,0.00114654089033538
"45",2015.33333333333,0.000566189034554126,0.000631098358276268,0.000835961526606036,0.00108135680068977,0.00116750682654417
"46",2015.45454545455,0.000574914049142418,0.000642019100917315,0.000851640860298254,0.001099566424705,0.00118851348548502
"47",2015.57575757576,0.000584828115617074,0.00065367162928603,0.000866714093461013,0.00112093114263051,0.00120839330038115
"48",2015.69696969697,0.000595345353446838,0.000664608946543653,0.000881832268223525,0.00114247382542566,0.00122778641841824
"49",2015.81818181818,0.000605525902963328,0.000676148691005196,0.000896823751016601,0.00116223520375852,0.00124791620893968
