"","Sample.Label","Region.Label","Effort"
"253",13,2020,32000
"254",14,2020,32000
"255",15,2020,32000
"256",16,2020,32000
"257",17,2020,32000
"258",18,2020,32000
"259",19,2020,32000
"260",20,2020,32000
"261",21,2020,32000
"262",22,2020,32000
"263",23,2020,32000
"264",24,2020,32000
"265",25,2020,32000
"266",26,2020,32000
"267",27,2020,32000
"268",28,2020,32000
"269",29,2020,32000
"270",30,2020,32000
"271",31,2020,32000
"272",32,2020,32000
"273",33,2020,32000
"274",34,2020,32000
"275",35,2020,32000
"276",36,2020,32000
"277",37,2020,32000
"278",38,2020,32000
"279",39,2020,32000
"280",40,2020,32000
