"","Year","Species","DetFun","Key","Adjust","Covar","Label","N","n_se","n_cv","n_lcl","n_ucl","D","d_se","d_cv","d_lcl","d_ucl"
"1","2010","STM","pooled","Hr","NA","NA","Grp",137.989211446772,85.2842231377049,0.618049934799448,43.706094760146,435.660577322157,0.0733985167270066,0.0453639484775026,0.618049934799448,0.0232479227447585,0.231734349639445
"2","2011","STM","pooled","Hr","NA","NA","Grp",273.30273181286,111.102282392041,0.406517277215204,124.162000130721,601.588111803384,0.145373793517479,0.0590969587191706,0.406517277215204,0.0660436170908089,0.319993676491162
"3","2013","STM","pooled","Hr","NA","NA","Grp",29.1210998183124,29.2469780319532,1.00432257759584,5.37520584051313,157.768554319616,0.0154899467118683,0.0155569032084857,1.00432257759584,0.00285915204282613,0.0839194437870297
"4","2014","STM","pooled","Hr","NA","NA","Grp",170.843785600766,105.646058809336,0.618378119156255,54.0839962319399,539.671642480505,0.0908743540429606,0.0561947121326256,0.618378119156255,0.0287680831020957,0.287059384298141
"5","2016","STM","pooled","Hr","NA","NA","Grp",201.881322213124,107.204572373823,0.531027690915599,73.7568421039554,552.573389748385,0.107383682028257,0.0570237087094803,0.531027690915599,0.0392323628212529,0.293922015823609
"6","2018","STM","pooled","Hr","NA","NA","Grp",0,0,0,0,0,0,0,0,0,0
"7","2020","STM","pooled","Hr","NA","NA","Grp",57.4955047694885,57.7587691630863,1.00457886915948,10.6092867955463,311.588623477122,0.0305827153029194,0.0307227495548331,1.00457886915948,0.00564323765720547,0.165738629509107
"8","2010","STM","pooled","Hr","NA","NA","Ind",528.958643879294,344.135003581716,0.650589620878273,159.156347949471,1758.00243307576,0.281360980786859,0.183050533820062,0.650589620878273,0.0846576318880164,0.935107677167958
"9","2011","STM","pooled","Hr","NA","NA","Ind",1093.21092725144,742.245104090748,0.678958731190976,314.821845088964,3796.14740878045,0.581495174069914,0.394811225580185,0.678958731190976,0.16745842823881,2.01922734509599
"10","2013","STM","pooled","Hr","NA","NA","Ind",116.484399273249,116.987912127813,1.00432257759584,21.5008233620525,631.074217278463,0.0619597868474731,0.062227612833943,1.00432257759584,0.0114366081713045,0.335677775148119
"11","2014","STM","pooled","Hr","NA","NA","Ind",597.953249602681,403.651559399877,0.675055382119069,173.231250388947,2063.99300303855,0.318060239150362,0.21470827627653,0.675055382119069,0.0921442821217804,1.09786861863753
"12","2016","STM","pooled","Hr","NA","NA","Ind",374.922455538658,221.682039853323,0.591274373082905,123.979033883449,1133.79531412773,0.199426838052478,0.117915978645385,0.591274373082905,0.0659462946188559,0.603082613897727
"13","2018","STM","pooled","Hr","NA","NA","Ind",0,0,0,0,0,0,0,0,0,0
"14","2020","STM","pooled","Hr","NA","NA","Ind",229.982019077954,231.035076652346,1.00457886915948,42.4371471821851,1246.35449390849,0.122330861211678,0.122890998219333,1.00457886915948,0.0225729506288219,0.662954518036431
